Attribute,Description,Valid Values,Requires,Required,Source,Parent,Properties,Requires Component,Validation Rules
cellType,A cell type is a distinct morphological or functional form of cell.,"Schwann cell precusor, B-lymphocytes, Embryonic stem cells, iPSC, iPSC-derived telencephalic organoids, GABAergic neurons, monocytes, microglia, macrophages, astrocytes, SH-SY5Y, GLUtamatergic neurons, NeuN+, NeuN-, epithelial, epithelial-like, fibroblast, round, lymphoblast, polygonal, CD8+ T-Cells, arachnoid, meningioma, schwannoma, oligodendrocyte, schwann, iPSC-derived neuron, iPSC-derived glia, iPSC-derived astrocytes, monocyte-derived microglia, iPSC-derived neuronal progenitor cell, CD138+, CNON",,TRUE,,experimentalData,,,
Bladder Cancer,A malignancy originating in tissues of the urinary bladder.; [http://identifiers.org/omim/109800],,,FALSE,,diagnosis,,,
Leukemia,"A malignant (clonal) hematologic disorder, involving hematopoietic stem cells and characterized by the presence of primitive or atypical myeloid or lymphoid cells in the bone marrow and the blood. Leukemias are classified as acute or chronic based on the degree of cellular differentiation and the predominant cell type present. Leukemia is usually associated with anemia, fever, hemorrhagic episodes, and splenomegaly.; [http://purl.obolibrary.org/obo/NCIT_C3161]",,,FALSE,,diagnosis,,,
Tourette Syndrome,Neurologic disorder manifested particularly by motor and vocal tics and associated with behavioral abnormalities. ; [http://identifiers.org/omim/137580],,,FALSE,,diagnosis,,,
Neurofibromatosis 1,"(NF1) - A disease characterized by patches of skin pigmentation (cafe-au-lait spots), Lisch nodules of the iris, tumors in the peripheral nervous system and fibromatous skin tumors. Individuals with the disorder have increased susceptibility to the development of benign and malignant tumors.",,,FALSE,,diagnosis,,,
Neurofibromatosis 2,"(NF2) - Genetic disorder characterized by bilateral vestibular schwannomas (formerly called acoustic neuromas), schwannomas of other cranial and peripheral nerves, meningiomas, and ependymomas. It is inherited in an autosomal dominant fashion with full penetrance.; [https://www.ebi.ac.uk/ols/ontologies/cco/terms?iri=http%3A%2F%2Fidentifiers.org%2Fomim%2F101000]",,,FALSE,,diagnosis,,,
Bipolar Disorder,"A mood disorder formerly characterised by alternating periods of mania and depression (and in some cases rapid cycling, mixed states, and psychotic symptoms).; [https://www.ebi.ac.uk/ols/ontologies/nbo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FNBO_0000258]",,,FALSE,,diagnosis,,,
Alzheimer Disease,"(AD) - Alzheimer disease is a neurodegenerative disorder characterized by progressive dementia, loss of cognitive abilities, and deposition of fibrillar amyloid proteins as intraneuronal neurofibrillary tangles, extracellular amyloid plaques and vascular amyloid deposits.; [https://www.ebi.ac.uk/ols/ontologies/cco/terms?iri=http%3A%2F%2Fidentifiers.org%2Fomim%2F104300]",,,FALSE,,diagnosis,,,
Schizophrenia,"A severe emotional disorder of psychotic depth characteristically marked by a retreat from reality with delusion formation, HALLUCINATIONS, emotional disharmony, and regressive behavior.; [https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0000692]",,,FALSE,,diagnosis,,,
Autism Spectrum Disorder,"Wide continuum of associated cognitive and neurobehavioral disorders, including, but not limited to, three core-defining features: impairments in socialization, impairments in verbal and nonverbal communication, and restricted and repetitive patterns of behaviors.; [https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0003756]",,,FALSE,,diagnosis,,,
Fibrocystic Breast Disease,breast fibrocystic disease is a benign mammary displasia characterised by breast discomfort and 'lumpiness'.; [https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0003014],,,FALSE,,diagnosis,,,
Breast Cancer,(BC) - A common malignancy originating from breast epithelial tissue.; [https://www.ebi.ac.uk/ols/ontologies/cco/terms?iri=http%3A%2F%2Fidentifiers.org%2Fomim%2F114480],,,FALSE,,diagnosis,,,
Colon Cancer,A colorectal cancer that is located_in the colon.; [https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_219],,,FALSE,,diagnosis,,,
Lung Cancer,A respiratory system cancer that is located_in the lung.; [https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_1324],,,FALSE,,diagnosis,,,
Prostate Cancer,A male reproductive organ cancer that is located_in the prostate.; [https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_10283],,,FALSE,,diagnosis,,,
Pancreatic Cancer,An endocrine gland cancer located_in the pancreas.; [https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_1793],,,FALSE,,diagnosis,,,
Skin Cancer,An integumentary system cancer located_in the skin that is the uncontrolled growth of abnormal skin cells.; [https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_4159],,,FALSE,,diagnosis,,,
Brain Cancer,A central nervous system cancer that is characterized by the growth of abnormal cells in the tissues of the brain.; [https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_1319],,,FALSE,,diagnosis,,,
Ovary Cancer,An ovarian cancer that is derives_from ovarian surface epithelium.; [https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_2152],,,FALSE,,diagnosis,,,
Affective Disorder,Change in mood is the main underlying feature of these disorders.; [Sage Bionetworks],,,FALSE,,diagnosis,,,
Cervical Cancer,"A malignant neoplasm of the cervix, typically originating from a dysplastic or premalignant lesion previously present at the active squamocolumnar junction. The transformation from mild dysplastic to invasive carcinoma generally occurs slowly within several years, although the rate of this process varies widely.; [http://identifiers.org/omim/603956]",,,FALSE,,diagnosis,,,
Juvenile Myelomonocytic Leukemia,"A myelodysplastic/myeloproliferative neoplasm of childhood that is characterized by proliferation principally of the granulocytic and monocytic lineages. Myelomonocytic proliferation is seen in the bone marrow and the blood. The leukemic cells may infiltrate any tissue, however liver, spleen, lymph nodes, skin, and respiratory tract are the most common sites of involvement.; [http://purl.obolibrary.org/obo/NCIT_C9233]",,,FALSE,,diagnosis,,,
diagnosis,A diagnosis is the result of a medical investigation to identify a disorder from its signs and symptoms.,"Bladder Cancer, Leukemia, Tourette Syndrome, Neurofibromatosis 1, Neurofibromatosis 2, Bipolar Disorder, Alzheimer Disease, Schizophrenia, Autism Spectrum Disorder, Fibrocystic Breast Disease, Breast Cancer, Colon Cancer, Lung Cancer, Prostate Cancer, Pancreatic Cancer, Skin Cancer, Brain Cancer, Ovary Cancer, Affective Disorder, Not Applicable, Cervical Cancer, Juvenile Myelomonocytic Leukemia",,TRUE,,experimentalData,,,
isMultiIndividual,Boolean flag indicating whether or not a file has data for multiple individuals,"Yes, No",,TRUE,,experimentalData,,,
isMultiSpecimen,Boolean flag indicating whether or not a file has data for multiple specimens,"Yes, No",,TRUE,,experimentalData,,,
male,,,,FALSE,,sex,,,
female,,,,FALSE,,sex,,,
sex,,"male, female",,TRUE,,experimentalData,,,
Human,Homo sapiens with taxonomy ID: 9606 and Genbank common name: human; [https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606&lvl=3&lin=f&keep=1&srchmode=1&unlock],,,FALSE,,species,,,
Mouse,Mus musculus with taxonomy ID: 10090 and Genbank common name: house mouse; [https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10090&lvl=3&lin=f&keep=1&srchmode=1&unlock],,"modelSystemStrainNomenclature,modelSystemName",FALSE,,species,,,
Rat,Rattus with taxonomy ID: 10114 and inherited blast name: rodents; [https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10114&lvl=3&lin=f&keep=1&srchmode=1&unlock],,"modelSystemStrainNomenclature,modelSystemName",FALSE,,species,,,
Drosophila melanogaster,Drosophila melanogaster with taxonomy ID: 7227 and Genbank common name: fruit fly; [https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=7227&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&p=mapview&lin=f&keep=1&srchmode=1&unlock],,"modelSystemStrainNomenclature,modelSystemName",FALSE,,species,,,
Rhesus macaque,Macaca mulatta with taxonomy ID: 9544 and Genbank common name: Rhesus monkey; [https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9544&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&p=mapview&lin=f&keep=1&srchmode=1&unlock],,,FALSE,,species,,,
Pan troglodytes,Pan troglodytes with taxonomy ID: 9598 and Genbank common name: chimpanzee; [https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9598&lvl=3&lin=f&keep=1&srchmode=1&unlock],,,FALSE,,species,,,
Gallus gallus,"The common domestic fowl, Chicken.; [https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9031]",,,FALSE,,species,,,
Sus scrofa,Sus scrofa with taxonomy ID: 9823 and Genbank common name: pig; [https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9823],,"modelSystemStrainNomenclature,modelSystemName",FALSE,,species,,,
species,The name of a species (typically a taxonomic group) of organism.,"Human, Mouse, Rat, Drosophila melanogaster, Rhesus macaque, Pan troglodytes, Gallus gallus, Sus scrofa",,TRUE,,experimentalData,,,
failedQC,Boolean flag indicating whether the sample or data failed QC checks,"Yes, No",,TRUE,,experimentalData,,,
cancer,,,,FALSE,,,,,
allograft,"Tissues, cells, or organs transplanted between genetically different individuals of the same species; [https://www.ncbi.nlm.nih.gov/mesh/68064591]",,,FALSE,,transplantationType,,,
xenograft,"Tissues, cells or organs transplanted between animals of different species; [https://www.ncbi.nlm.nih.gov/mesh/68064593]",,"transplantationRecipientSpecies,transplantationRecipientTissue",FALSE,,transplantationType,,,
autograft,"Transplant comprised of an individual's own tissue, transferred from one part of the body to another.; [https://www.ncbi.nlm.nih.gov/mesh/68064592]",,,FALSE,,transplantationType,,,
isograft,"Tissues, cells or organs transplanted between genetically identical individuals; [https://www.ncbi.nlm.nih.gov/mesh/68064596]",,,FALSE,,transplantationType,,,
transplantationType,"Type of transplantation involved in the experiment, derived from MESH","allograft, xenograft, autograft, isograft",,TRUE,,cancer,,,
overexpression,Gene overexpression refers to genetic techniques in which an organism or cell line is engineered to express increased levels of a gene.; [http://www.bioassayontology.org/bao#BAO_0002442],,,FALSE,,genePerturbationType,,,
knockdown,"Gene knockdown refers to techniques by which the expression of one or more of an organism's genes is reduced, either through genetic modification (a change in the DNA of one of the organism's chromosomes) or by treatment with a reagent such as a short DNA or RNA oligonucleotide with a sequence complementary to either an mRNA transcript or a gene.; [http://www.bioassayontology.org/bao#BAO_0002433]",,,FALSE,,genePerturbationType,,,
knockout,A gene knockout is a genetic technique in which an organism is engineered to carry genes that have been made inoperative (have been 'knocked out' of the organism).; [http://www.bioassayontology.org/bao#BAO_0002441],,,FALSE,,genePerturbationType,,,
genePerturbationType,Specific way in which a single gene was perturbed in a sample,"overexpression, knockdown, knockout",genePerturbationTechnology,TRUE,,cancer,,,
RNAi,High throughput sample analysis of RNAi molecules for potential application in gene knockdown or gene silencing of target genes; [http://purl.obolibrary.org/obo/ERO_0001688],,,FALSE,,genePerturbationTechnology,,,
CRISPR,,,,FALSE,,genePerturbationTechnology,,,
CRE Recombinase,CRE Recombinase catalyses site-specific recombination between two 34 base pair loxp sites and maintains the phage genome as a monomeric unit-copy plasmid in the lysogenic state.; [http://purl.obolibrary.org/obo/NCIT_C17285],,,FALSE,,genePerturbationTechnology,,,
genePerturbationTechnology,Technology used to perform gene perturbation,"RNAi, CRISPR, CRE Recombinase",,TRUE,,cancer,,,
hours,,,,FALSE,,timePointUnit,,,
days,,,,FALSE,,timePointUnit,,,
timePointUnit,For timed experiments this represents the unit of time measured,"hours, days",,TRUE,,cancer,,,
Human,,,,FALSE,,transplantationRecipientSpecies,,,
Mouse,,,,FALSE,,transplantationRecipientSpecies,,,
transplantationRecipientSpecies,Species into which donor tissue was grown,"Human, Mouse",,TRUE,,cancer,,,
Cutaneous Neurofibroma,A neurofibroma that grows along small branches of nerves in the dermis in patients with neurofibromatosis. It presents as a solid cutaneous tumor.; [http://purl.obolibrary.org/obo/NCIT_C128451],,,FALSE,,tumorType,,,
Plexiform Neurofibroma,"An elongated and multinodular neurofibroma, formed when the tumor involves either multiple trunks of a plexus or multiple fascicles of a large nerve, such as the sciatic. Some plexiform neurofibromas resemble a bag of worms, others produce a massive ropy enlargement of the nerve.; [http://purl.obolibrary.org/obo/NCIT_C3797]",,,FALSE,,tumorType,,,
Atypical Neurofibroma,A neurofibroma characterized by the presence of cellular pleomorphism.; [http://purl.obolibrary.org/obo/NCIT_C41426],,,FALSE,,tumorType,,,
Malignant Peripheral Nerve Sheath Tumor,"The tumors usually develop along peripheral or cranial nerves and are a central feature of NEUROFIBROMATOSIS 1, where they may occur intracranially or involve spinal roots.; [http://purl.obolibrary.org/obo/NCIT_C3798]",,,FALSE,,tumorType,,,
Adenocarcinoma,"A common cancer characterized by the presence of malignant glandular cells. Morphologically, adenocarcinomas are classified according to the growth pattern (e.g., papillary, alveolar) or according to the secreting product (e.g., mucinous, serous).; [https://www.ebi.ac.uk/ols/ontologies/mp/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FNCIT_C2852]",,,FALSE,,tumorType,,,
Carcinoma,A cell type cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.; [https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_305],,,FALSE,,tumorType,,,
Ductal Carcinoma,"Invasive ductal carcinoma (IDC), an infiltrating, malignant and abnormal proliferation of neoplastic cells in the breast tissue, or ductal carcinoma in situ (DCIS), a noninvasive, possibly malignant, neoplasm that is still confined to the milk ducts (lactiferous ducts), where breast cancer most often originates.; [https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0004851]",,,FALSE,,tumorType,,,
Melanoma,"A malignant, usually aggressive tumor composed of atypical, neoplastic melanocytes.; [https://www.ebi.ac.uk/ols/ontologies/mp/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FNCIT_C3224]",,,FALSE,,tumorType,,,
Glioma,"A benign or malignant brain and spinal cord tumor that arises from glial cells (astrocytes, oligodendrocytes, ependymal cells). Tumors that arise from astrocytes are called astrocytic tumors or astrocytomas. Tumors that arise from oligodendrocytes are called oligodendroglial tumors. Tumors that arise from ependymal cells are called ependymomas.; [http://purl.obolibrary.org/obo/MONDO_0021042]",,,FALSE,,tumorType,,,
Low Grade Glioma,Low grade gliomas are brain tumors that come from two different types of brain cells known as astrocytes and oligodendrocytes.; [https://www.urmc.rochester.edu/neurosurgery/specialties/neurooncology/conditions/low-grade-glioma.aspx],,,FALSE,,tumorType,,,
Diffuse Astrocytoma,Also called Low-Grade or Astrocytoma Grade II is a subtype of glial tumor of the brain or spinal cord showing astrocytic differentiation.; [https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0000272],,,FALSE,,tumorType,,,
Anaplastic Astrocytoma,"A diffusely infiltrating, WHO grade III astrocytoma with focal or dispersed anaplasia, and a marked proliferative potential. It may arise from a low-grade astrocytoma, but it can also be diagnosed at first biopsy, without indication of a less malignant precursor lesion. It has an intrinsic tendency for malignant progression to glioblastoma.; [https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0002499]",,,FALSE,,tumorType,,,
Glioblastoma,"Develop primarily through increasing anaplasia of well differentiated gliomas, mainly astrocytomas or oligodendrogliomas. Typically large and contain cells of different sizes with irrregular nuclei and atypical mitotic figures.; [https://www.ebi.ac.uk/ols/ontologies/mpath/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMPATH_564]",,,FALSE,,tumorType,,,
Schwannoma,"A neoplasm that arises from SCHWANN CELLS of the cranial, peripheral, and autonomic nerves. ; [https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0000693]",,,FALSE,,tumorType,,,
Lymphoblastic Lymphoma,A lymphoma composed of immature small to medium-sized precursor lymphoid cells (lymphoblasts). It includes the B- and T-cell lymphoblastic lymphoma.; [http://purl.obolibrary.org/obo/NCIT_C9360],,,FALSE,,tumorType,,,
Meningioma,A generally slow growing tumor attached to the dura mater. It is composed of neoplastic meningothelial (arachnoidal) cells.; [https://www.ebi.ac.uk/ols/ontologies/mp/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FNCIT_C3230],,,FALSE,,tumorType,,,
Myeloma,"A bone marrow cancer that is formed of any one of the bone marrow cells belonging to the granulocytic (neutrophil, eosinophil, basophil), monocytic/macrophage, erythroid, megakaryocytic and mast cell lineages.; [http://purl.obolibrary.org/obo/DOID_0070004]",,,FALSE,,tumorType,,,
T Acute Lymphoblastic Leukemia,Acute lymphoblastic leukemia of T-cell origin. It comprises about 15% of childhood cases and 25% of adult cases. ; [http://purl.obolibrary.org/obo/NCIT_C3183],,,FALSE,,tumorType,,,
chronic lymphocytic leukemia,A lymphoblastic leukemia characterized by over production of B-cells and their accumulation in bone marrow and blood. ; [http://purl.obolibrary.org/obo/DOID_1040],,,FALSE,,tumorType,,,
Acute Myeloid Leukemia,"A clonal expansion of myeloid blasts in the bone marrow, blood or other tissues.; [http://purl.obolibrary.org/obo/NCIT_C3171]",,,FALSE,,tumorType,,,
tumorType,The type of cells that carcinoma arises from.,"Cutaneous Neurofibroma, Plexiform Neurofibroma, Atypical Neurofibroma, Malignant Peripheral Nerve Sheath Tumor, Adenocarcinoma, Carcinoma, Ductal Carcinoma, Melanoma, Glioma, Low Grade Glioma, Diffuse Astrocytoma, Anaplastic Astrocytoma, Glioblastoma, Schwannoma, Lymphoblastic Lymphoma, Meningioma, Myeloma, Not Applicable, T Acute Lymphoblastic Leukemia, chronic lymphocytic leukemia, Acute Myeloid Leukemia",,TRUE,,cancer,,,
neuro,,,,FALSE,,,,,
modelSystemName,,"Abca7A1527GAPOE4Trem2R47H, Abca7KO, AB42, APOE2KI, APOE3KI, APOE4KI, APOE4Trem2R47H, APPE693Q, AppKOAPOE4Trem2R47H, APPKM650, APPKM670, APPKM670-671NL-PSEN1deltaexon9, APPPS1, BRI2-AB42, Ceacam1KO, Clasp2L163PSNP, CRND8, C57BL6J, hAbeta KI, hAPPAPOE4Trem2R47H, hTau, hTauTrem2, Il1rapKO, Kif21bT82TSNP, MAPT-P301K, MthfrC677TSNP, Plcg2KO, Plcg2M28LSNP, rTg4510, Snx1D465NSNP, Sorl1A528TSNP, TREM2, Trem2flox, Trem2KO, Trem2R47H, Trem2Y38C, TYROBP, TYROBP_KO.KO, TYROBP_WT, TYROBP_WT.KO, 5XFAD",,TRUE,,neuro,,,
isModelSystem,,"True, False",modelSystemName,TRUE,,neuro,,,
C57BL/6J,C57BL/6 is the most widely used inbred strain. It is commonly used as a general purpose strain and background strain for the generation of congenics carrying both spontaneous and induced mutations.; [https://www.jax.org/strain/000664],,,FALSE,,modelSystemStrainNomenclature,,,
modelSystemStrainNomenclature,,"B6.Cg-Tg(APPswe,PSEN1dE9)85Dbo/Mmjax, C57BL/6J, rTg(tauP301L)4510, B6.129P2-Tyrobptm1lll, Tg(Camk2a-tTA)1Mmay Tg(tetO-MAPT*P301L)#Kha/J, Tg(Prnp-MAPT*P301L)JNPL3Hlmc, B6C3-Tg(APPswe,PSEN1dE9)85Dbo/Mmjax",,TRUE,,neuro,,,
neurofibromatosis,,,,FALSE,,,,,
-/-,Homozygous deletion or mutation of NF2.; [Sage Bionetworks],,,FALSE,,nf2Genotype,,,
+/-,Heterozygous deletion or mutation; [Sage Bionetworks],,,FALSE,,nf2Genotype,,,
+/+,Homozygous wild type; [Sage Bionetworks],,,FALSE,,nf2Genotype,,,
unknown,; [Sage Bionetworks],,,FALSE,,nf2Genotype,,,
nf2Genotype,"Genotype of NF2 gene, if known","-/-, +/-, +/+, unknown",,TRUE,,neurofibromatosis,,,
-/-,Homozygous deletion or mutation of NF1.; [Sage Bionetworks],,,FALSE,,nf1Genotype,,,
+/-,Heterozygous deletion or mutation; [Sage Bionetworks],,,FALSE,,nf1Genotype,,,
+/+,Homozygous wildtype; [Sage Bionetworks],,,FALSE,,nf1Genotype,,,
unknown,; [Sage Bionetworks],,,FALSE,,nf1Genotype,,,
nf1Genotype,"Genotype of NF1 gene, if known","-/-, +/-, +/+, unknown",,TRUE,,neurofibromatosis,,,
ngs,,,,FALSE,,,,,
singleEnd,A library preparation that results in the creation of a library of 5' ends of DNA.; [Sage Bionetworks],,,FALSE,,runType,,,
pairedEnd,A library preparation that results in the creation of a library of the 5' and 3' ends of DNA or cDNA fragments using adaptors and endonucleases. The preparation may or may not include cloning process.; [http://purl.obolibrary.org/obo/OBI_0001852],,,FALSE,,runType,,,
runType,,"singleEnd, pairedEnd",,TRUE,,ngs,,,
1,One of a pair of sequencing reads in which the two members of the pair are related by originating at either end of a clone insert.; [http://purl.obolibrary.org/obo/SO_0000007],,,FALSE,,readPair,,,
2,One of a pair of sequencing reads in which the two members of the pair are related by originating at either end of a clone insert.; [http://purl.obolibrary.org/obo/SO_0000007],,,FALSE,,readPair,,,
readPair,The read of origin,"1, 2",,TRUE,,ngs,,,
isStranded,Whether or not the library is stranded.,"Yes, No",,TRUE,,ngs,,,
inward,Reads face each other; [Sage Bionetworks],,,FALSE,,readPairOrientation,,,
outward,Reads face away from each other; [Sage Bionetworks],,,FALSE,,readPairOrientation,,,
matching,Reads face the same direction; [Sage Bionetworks],,,FALSE,,readPairOrientation,,,
readPairOrientation,The relative orientation of the reads in a paired-end protocol,"inward, outward, matching",,TRUE,,ngs,,,
forward,Read 1 (or unpaired read) comes from the forward strand and read 2 (if applicable) comes from the reverse strand; equivalent to Tophat 'fr-secondstrand' type; [Sage Bionetworks],,,FALSE,,readStrandOrigin,,,
reverse,read 1 (or unpaired read) comes from the reverse strand and read 2 (if applicable) comes from the forward strand; equivalent to Tophat 'fr-firststrand' type; [Sage Bionetworks],,,FALSE,,readStrandOrigin,,,
readStrandOrigin,The strand from which the read originates in a strand-specific protocol,"forward, reverse",,TRUE,,ngs,,,
rRNAdepletion,Total RNA library with ribosomal RNA depleted.; [Sage Bionetworks],,,FALSE,,libraryPrep,,,
polyAselection,RNA selection by polyA tail capture; [Sage Bionetworks],,,FALSE,,libraryPrep,,,
lncRNAenrichment,RNA library enriched for lncRNA; [Sage Bionetworks],,,FALSE,,libraryPrep,,,
miRNAenrichment,RNA library with size selection for microRNAs; [Sage Bionetworks],,,FALSE,,libraryPrep,,,
libraryPrep,The general strategy by which the library was prepared,"rRNAdepletion, polyAselection, lncRNAenrichment, miRNAenrichment",,TRUE,,ngs,,,
10x,10x Genomics library preparation; [https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json],,,FALSE,,libraryPreparationMethod,,,
CEL-seq,CEL-Seq library preparation; [https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json],,,FALSE,,libraryPreparationMethod,,,
Drop-Seq,Drop-Seq library preparation; [https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json],,,FALSE,,libraryPreparationMethod,,,
Smart-seq2,Smart-seq 2 library preparation; [https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json],,,FALSE,,libraryPreparationMethod,,,
TruSeq,TruSeq library preparation; [https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json],,,FALSE,,libraryPreparationMethod,,,
Smart-seq4,Smart-seq4 library preparation; [https://www.takarabio.com/products/next-generation-sequencing/single-cell-rna-and-dna-seq/smart-seq-v4-for-mrna-seq],,,FALSE,,libraryPreparationMethod,,,
Omni-ATAC,Omni-ATAC-seq library preparation; [https://protocolexchange.researchsquare.com/article/nprot-6107/v1],,,FALSE,,libraryPreparationMethod,,,
libraryPreparationMethod,Method by which library was prepared,"10x, CEL-seq, Drop-Seq, Smart-seq2, TruSeq, Smart-seq4, Omni-ATAC",,TRUE,,ngs,,,
bulk cell,All cells from bulk sample; [https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json],,,FALSE,,nucleicAcidSource,,,
single cell,Single cell; [https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json],,,FALSE,,nucleicAcidSource,,,
bulk nuclei,All nuclei from bulk sample; [https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json],,,FALSE,,nucleicAcidSource,,,
single nucleus,Single nuclei; [https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json],,,FALSE,,nucleicAcidSource,,,
mitochondria,Mitochondria only; [https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json],,,FALSE,,nucleicAcidSource,,,
nucleicAcidSource,,"bulk cell, single cell, bulk nuclei, single nucleus, mitochondria",,TRUE,,ngs,,,
10x_v2,; [https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json],,,FALSE,,dissociationMethod,,,
FACS,; [https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json],,,FALSE,,dissociationMethod,,,
Fluidigm C1,; [https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json],,,FALSE,,dissociationMethod,,,
drop-seq,; [https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json],,,FALSE,,dissociationMethod,,,
inDrop,; [https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json],,,FALSE,,dissociationMethod,,,
mouth pipette,; [https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json],,,FALSE,,dissociationMethod,,,
bulk,; [https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json],,,FALSE,,dissociationMethod,,,
enzymatic,; [https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json],,,FALSE,,dissociationMethod,,,
mechanical,; [https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json],,,FALSE,,dissociationMethod,,,
none,; [https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json],,,FALSE,,dissociationMethod,,,
dissociationMethod,,"10x_v2, FACS, Fluidigm C1, drop-seq, inDrop, mouth pipette, bulk, enzymatic, mechanical, none",,TRUE,,ngs,,,
chem,,,,FALSE,,,,,
target,The role of a molecular entity (protein or nucleic acid) that is the presumed subject of an assay and whose activity is being regulated by an entity with a perturbagen role in that assay.; [http://www.bioassayontology.org/bao#BAO_0003064],,,FALSE,,chemicalDataType,,,
